STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
KANSAS,AG4_45_64,714,678,417,58.4,61.4
KANSAS,AG5_65+,415,415,274,66.0,66.0
KENTUCKY,TOTAL,"3,323","3,207","1,525",45.9,47.5
KENTUCKY,AG1_18_24,433,406,101,23.4,24.9
KENTUCKY,AG2_25_34,559,518,202,36.1,38.9
KENTUCKY,AG3_35_44,512,490,236,46.0,48.1
KENTUCKY,AG4_45_64,"1,196","1,172",619,51.8,52.8
KENTUCKY,AG5_65+,623,621,367,59.0,59.2
LOUISIANA,TOTAL,"3,450","3,342","1,677",48.6,50.2
LOUISIANA,AG1_18_24,501,484,132,26.2,27.2
LOUISIANA,AG2_25_34,643,610,232,36.2,38.1
LOUISIANA,AG3_35_44,502,463,183,36.5,39.6
LOUISIANA,AG4_45_64,"1,179","1,162",703,59.7,60.5
LOUISIANA,AG5_65+,625,623,426,68.2,68.5
MAINE,TOTAL,"1,061","1,045",642,60.5,61.5
MAINE,AG1_18_24,110,107,33,30.2,31.0
MAINE,AG2_25_34,154,152,67,43.4,44.0
MAINE,AG3_35_44,153,149,90,58.6,60.1
MAINE,AG4_45_64,382,376,258,67.7,68.7
MAINE,AG5_65+,262,260,194,74.2,74.7
MARYLAND,TOTAL,"4,542","4,148","2,028",44.7,48.9
MARYLAND,AG1_18_24,490,434,106,21.7,24.5
MARYLAND,AG2_25_34,964,822,265,27.5,32.3
MARYLAND,AG3_35_44,649,571,285,44.0,50.0
MARYLAND,AG4_45_64,"1,682","1,583",912,54.2,57.6
MARYLAND,AG5_65+,757,738,460,60.8,62.3
MASSACHUSETTS,TOTAL,"5,279","4,815","2,259",42.8,46.9
MASSACHUSETTS,AG1_18_24,590,536,109,18.5,20.3
MASSACHUSETTS,AG2_25_34,983,845,233,23.7,27.5
MASSACHUSETTS,AG3_35_44,844,718,298,35.3,41.5
MASSACHUSETTS,AG4_45_64,"1,813","1,696",974,53.7,57.4
MASSACHUSETTS,AG5_65+,"1,049","1,021",646,61.6,63.3
MICHIGAN,TOTAL,"7,576","7,246","3,416",45.1,47.1
MICHIGAN,AG1_18_24,915,899,167,18.3,18.6
MICHIGAN,AG2_25_34,"1,127","1,039",340,30.1,32.7
MICHIGAN,AG3_35_44,"1,271","1,193",546,43.0,45.8
MICHIGAN,AG4_45_64,"2,660","2,553","1,312",49.3,51.4
MICHIGAN,AG5_65+,"1,602","1,562","1,051",65.6,67.3
MINNESOTA,TOTAL,"4,104","3,933","2,047",49.9,52.0
MINNESOTA,AG1_18_24,537,520,112,20.9,21.6
MINNESOTA,AG2_25_34,710,660,252,35.4,38.1
MINNESOTA,AG3_35_44,628,598,292,46.5,48.9
MINNESOTA,AG4_45_64,"1,409","1,343",802,56.9,59.7
MINNESOTA,AG5_65+,819,812,588,71.8,72.5
MISSISSIPPI,TOTAL,"2,182","2,142",907,41.6,42.3
MISSISSIPPI,AG1_18_24,327,322,85,26.1,26.5
MISSISSIPPI,AG2_25_34,371,360,88,23.8,24.5
MISSISSIPPI,AG3_35_44,311,302,111,35.8,36.8
MISSISSIPPI,AG4_45_64,739,730,374,50.6,51.2
MISSISSIPPI,AG5_65+,434,429,248,57.2,57.9
MISSOURI,TOTAL,"4,505","4,429","1,713",38.0,38.7
MISSOURI,AG1_18_24,442,438,64,14.5,14.6
MISSOURI,AG2_25_34,749,727,201,26.8,27.6
MISSOURI,AG3_35_44,805,776,305,37.8,39.2
MISSOURI,AG4_45_64,"1,592","1,580",684,42.9,43.3
MISSOURI,AG5_65+,916,907,460,50.2,50.7
MONTANA,TOTAL,788,782,391,49.7,50.1
MONTANA,AG1_18_24,101,99,21,20.7,21.1
MONTANA,AG2_25_34,136,133,42,31.0,31.6
MONTANA,AG3_35_44,104,104,55,52.8,52.8
MONTANA,AG4_45_64,278,277,159,57.0,57.2
MONTANA,AG5_65+,169,169,115,68.2,68.2
NEBRASKA,TOTAL,"1,400","1,306",579,41.4,44.3
NEBRASKA,AG1_18_24,180,166,26,14.4,15.5
NEBRASKA,AG2_25_34,265,237,68,25.7,28.8
NEBRASKA,AG3_35_44,219,191,79,35.9,41.3
NEBRASKA,AG4_45_64,457,438,232,50.8,53.1
NEBRASKA,AG5_65+,278,275,174,62.6,63.4
NEVADA,TOTAL,"2,128","1,858",693,32.6,37.3
NEVADA,AG1_18_24,245,233,42,17.3,18.1
NEVADA,AG2_25_34,388,332,89,23.0,26.8
NEVADA,AG3_35_44,379,310,91,23.9,29.3
NEVADA,AG4_45_64,718,606,248,34.6,41.0
NEVADA,AG5_65+,399,377,223,55.8,59.0
NEW HAMPSHIRE,TOTAL,"1,047","1,015",509,48.6,50.2
NEW HAMPSHIRE,AG1_18_24,113,113,21,19.0,19.0
NEW HAMPSHIRE,AG2_25_34,164,151,40,24.4,26.6
NEW HAMPSHIRE,AG3_35_44,159,155,77,48.3,49.5
NEW HAMPSHIRE,AG4_45_64,398,387,225,56.5,58.2
NEW HAMPSHIRE,AG5_65+,213,210,146,68.7,69.7
NEW JERSEY,TOTAL,"6,820","5,909","2,151",31.5,36.4
NEW JERSEY,AG1_18_24,772,698,100,12.9,14.3
NEW JERSEY,AG2_25_34,"1,139",877,160,14.0,18.3
NEW JERSEY,AG3_35_44,"1,124",860,263,23.4,30.5
NEW JERSEY,AG4_45_64,"2,427","2,181",963,39.7,44.2
NEW JERSEY,AG5_65+,"1,358","1,292",666,49.0,51.5
NEW MEXICO,TOTAL,"1,536","1,417",646,42.1,45.6
NEW MEXICO,AG1_18_24,196,184,23,11.6,12.3
NEW MEXICO,AG2_25_34,268,243,63,23.7,26.1
NEW MEXICO,AG3_35_44,230,195,80,34.7,40.8
NEW MEXICO,AG4_45_64,504,470,264,52.4,56.2
NEW MEXICO,AG5_65+,338,323,216,63.8,66.7
NEW YORK,TOTAL,"15,274","13,611","4,680",30.6,34.4
NEW YORK,AG1_18_24,"1,959","1,738",258,13.2,14.9
NEW YORK,AG2_25_34,"2,882","2,444",509,17.7,20.8
NEW YORK,AG3_35_44,"2,310","1,946",602,26.1,30.9
NEW YORK,AG4_45_64,"5,153","4,653","1,899",36.9,40.8
NEW YORK,AG5_65+,"2,971","2,830","1,411",47.5,49.9
NORTH CAROLINA,TOTAL,"7,412","6,857","3,170",42.8,46.2
NORTH CAROLINA,AG1_18_24,"1,092","1,008",235,21.6,23.4
NORTH CAROLINA,AG2_25_34,"1,199","1,037",347,28.9,33.5
NORTH CAROLINA,AG3_35_44,"1,091",937,404,37.1,43.2
NORTH CAROLINA,AG4_45_64,"2,582","2,452","1,262",48.9,51.5
NORTH CAROLINA,AG5_65+,"1,448","1,424",921,63.6,64.7
NORTH DAKOTA,TOTAL,567,547,279,49.2,51.0
NORTH DAKOTA,AG1_18_24,82,77,21,25.1,26.7
NORTH DAKOTA,AG2_25_34,121,114,45,37.2,39.4
NORTH DAKOTA,AG3_35_44,78,76,32,41.2,42.8
NORTH DAKOTA,AG4_45_64,184,180,106,57.4,59.0
NORTH DAKOTA,AG5_65+,101,100,75,74.3,74.8
OHIO,TOTAL,"8,772","8,509","3,378",38.5,39.7
OHIO,AG1_18_24,985,968,122,12.4,12.6
OHIO,AG2_25_34,"1,488","1,408",404,27.1,28.7
OHIO,AG3_35_44,"1,383","1,312",501,36.2,38.2
OHIO,AG4_45_64,"3,033","2,955","1,293",42.6,43.7
OHIO,AG5_65+,"1,883","1,867","1,059",56.2,56.7
OKLAHOMA,TOTAL,"2,851","2,690",920,32.3,34.2
OKLAHOMA,AG1_18_24,382,352,42,10.9,11.8
OKLAHOMA,AG2_25_34,536,501,104,19.5,20.9
OKLAHOMA,AG3_35_44,419,362,108,25.7,29.7
OKLAHOMA,AG4_45_64,946,917,366,38.7,39.9
OKLAHOMA,AG5_65+,568,558,300,52.9,53.8
OREGON,TOTAL,"3,078","2,870","1,594",51.8,55.5
OREGON,AG1_18_24,380,358,89,23.4,24.9
OREGON,AG2_25_34,531,483,242,45.6,50.2
OREGON,AG3_35_44,497,436,237,47.8,54.4
OREGON,AG4_45_64,"1,066",994,615,57.6,61.8
OREGON,AG5_65+,604,599,410,68.0,68.5
PENNSYLVANIA,TOTAL,"9,924","9,511","3,803",38.3,40.0
PENNSYLVANIA,AG1_18_24,"1,119","1,062",116,10.4,10.9
PENNSYLVANIA,AG2_25_34,"1,667","1,511",424,25.4,28.0
PENNSYLVANIA,AG3_35_44,"1,484","1,385",509,34.3,36.8
PENNSYLVANIA,AG4_45_64,"3,607","3,525","1,633",45.3,46.3
PENNSYLVANIA,AG5_65+,"2,047","2,027","1,121",54.8,55.3
RHODE ISLAND,TOTAL,819,765,331,40.4,43.3
RHODE ISLAND,AG1_18_24,108,103,14,13.0,13.7
RHODE ISLAND,AG2_25_34,132,119,25,18.8,21.0
RHODE ISLAND,AG3_35_44,122,109,45,37.1,41.7
RHODE ISLAND,AG4_45_64,289,273,157,54.4,57.4
RHODE ISLAND,AG5_65+,167,161,90,53.7,55.7
SOUTH CAROLINA,TOTAL,"3,667","3,569","1,514",41.3,42.4
SOUTH CAROLINA,AG1_18_24,462,457,89,19.3,19.5
SOUTH CAROLINA,AG2_25_34,617,590,156,25.2,26.4
SOUTH CAROLINA,AG3_35_44,574,543,204,35.6,37.6
SOUTH CAROLINA,AG4_45_64,"1,294","1,267",688,53.2,54.3
SOUTH CAROLINA,AG5_65+,720,712,376,52.2,52.8
SOUTH DAKOTA,TOTAL,625,618,273,43.7,44.1
SOUTH DAKOTA,AG1_18_24,69,67,8,,
SOUTH DAKOTA,AG2_25_34,125,122,32,25.2,26.0
SOUTH DAKOTA,AG3_35_44,86,85,42,48.1,48.7
SOUTH DAKOTA,AG4_45_64,233,233,124,52.9,53.0
SOUTH DAKOTA,AG5_65+,111,111,68,61.4,61.4
TENNESSEE,TOTAL,"4,975","4,815","1,763",35.4,36.6
TENNESSEE,AG1_18_24,661,652,78,11.8,11.9
TENNESSEE,AG2_25_34,803,741,137,17.1,18.5
TENNESSEE,AG3_35_44,817,772,300,36.7,38.8
TENNESSEE,AG4_45_64,"1,750","1,714",747,42.7,43.6
TENNESSEE,AG5_65+,945,935,502,53.1,53.7
TEXAS,TOTAL,"19,354","16,844","5,836",30.2,34.6
TEXAS,AG1_18_24,"2,611","2,371",287,11.0,12.1
TEXAS,AG2_25_34,"3,815","3,137",687,18.0,21.9
TEXAS,AG3_35_44,"3,558","2,816",835,23.5,29.7
TEXAS,AG4_45_64,"6,416","5,681","2,478",38.6,43.6
TEXAS,AG5_65+,"2,954","2,839","1,548",52.4,54.5
UTAH,TOTAL,"2,026","1,924",703,34.7,36.5
UTAH,AG1_18_24,259,250,35,13.4,13.9
UTAH,AG2_25_34,457,428,99,21.8,23.3
UTAH,AG3_35_44,436,410,121,27.7,29.5
UTAH,AG4_45_64,589,558,258,43.9,46.3
UTAH,AG5_65+,286,279,189,66.1,67.9
VERMONT,TOTAL,493,482,205,41.6,42.5
VERMONT,AG1_18_24,55,55,6,,
VERMONT,AG2_25_34,74,72,12,,
VERMONT,AG3_35_44,74,72,28,,
VERMONT,AG4_45_64,184,179,93,50.7,52.3
VERMONT,AG5_65+,106,105,65,61.5,62.2
VIRGINIA,TOTAL,"6,221","5,888","2,453",39.4,41.7
VIRGINIA,AG1_18_24,728,681,112,15.4,16.5
VIRGINIA,AG2_25_34,"1,075",973,258,24.0,26.6
VIRGINIA,AG3_35_44,"1,094",989,403,36.9,40.8
VIRGINIA,AG4_45_64,"2,160","2,086","1,017",47.1,48.7
VIRGINIA,AG5_65+,"1,165","1,159",662,56.8,57.1
WASHINGTON,TOTAL,"5,333","4,776","2,390",44.8,50.0
