YEAR,STATE,AGE.NEW,POP_TOT,POP_CIT,VOTES_TOT,VRATE.TOT,VRATE.CIT,state.abb
Y2012,vermont,AB2_25+,435,428,284,65.29,66.36,VT
Y2012,virginia,AB1_18_24,695,612,292,42.01,47.71,VA
Y2012,virginia,AB2_25+,5400,5034,3486,64.56,69.25,VA
Y2012,washington,AB1_18_24,563,511,215,38.19,42.07,WA
Y2012,washington,AB2_25+,4667,4322,2957,63.36,68.42,WA
Y2012,west virginia,AB1_18_24,163,162,37,22.7,22.84,WV
Y2012,west virginia,AB2_25+,1290,1281,652,50.54,50.9,WV
Y2012,wisconsin,AB1_18_24,539,513,287,53.25,55.95,WI
Y2012,wisconsin,AB2_25+,3812,3734,2841,74.53,76.08,WI
Y2012,wyoming,AB1_18_24,56,55,18,32.14,32.73,WY
Y2012,wyoming,AB2_25+,370,364,229,61.89,62.91,WY
Y2014,alabama,AB1_18_24,482,449,77,15.98,17.15,AL
Y2014,alabama,AB2_25+,3173,3070,1419,44.72,46.22,AL
Y2014,alaska,AB1_18_24,76,74,19,25,25.68,AK
Y2014,alaska,AB2_25+,444,430,236,53.15,54.88,AK
Y2014,arizona,AB1_18_24,514,491,74,14.4,15.07,AZ
Y2014,arizona,AB2_25+,4479,3906,1712,38.22,43.83,AZ
Y2014,arkansas,AB1_18_24,242,230,36,14.88,15.65,AR
Y2014,arkansas,AB2_25+,1947,1828,762,39.14,41.68,AR
Y2014,california,AB1_18_24,4129,3708,591,14.31,15.94,CA
Y2014,california,AB2_25+,24901,20748,8359,33.57,40.29,CA
Y2014,colorado,AB1_18_24,374,347,64,17.11,18.44,CO
Y2014,colorado,AB2_25+,3635,3385,2148,59.09,63.46,CO
Y2014,connecticut,AB1_18_24,319,280,56,17.55,20,CT
Y2014,connecticut,AB2_25+,2463,2280,1139,46.24,49.96,CT
Y2014,delaware,AB1_18_24,147,134,29,19.73,21.64,DE
Y2014,delaware,AB2_25+,1103,1006,517,46.87,51.39,DE
Y2014,florida,AB1_18_24,1406,1301,229,16.29,17.6,FL
Y2014,florida,AB2_25+,14008,12577,5991,42.77,47.63,FL
Y2014,georgia,AB1_18_24,975,895,201,20.62,22.46,GA
Y2014,georgia,AB2_25+,6332,5864,2719,42.94,46.37,GA
Y2014,hawaii,AB1_18_24,133,125,11,8.27,8.8,HI
Y2014,hawaii,AB2_25+,902,831,389,43.13,46.81,HI
Y2014,idaho,AB1_18_24,181,171,21,11.6,12.28,ID
Y2014,idaho,AB2_25+,1000,933,441,44.1,47.27,ID
Y2014,illinois,AB1_18_24,1385,1273,191,13.79,15,IL
Y2014,illinois,AB2_25+,8371,7678,3544,42.34,46.16,IL
Y2014,indiana,AB1_18_24,559,505,91,16.28,18.02,IN
Y2014,indiana,AB2_25+,4354,4188,1555,35.71,37.13,IN
Y2014,iowa,AB1_18_24,256,250,51,19.92,20.4,IA
Y2014,iowa,AB2_25+,2079,2024,1153,55.46,56.97,IA
Y2014,kansas,AB1_18_24,258,240,34,13.18,14.17,KS
Y2014,kansas,AB2_25+,1867,1753,928,49.71,52.94,KS
Y2014,kentucky,AB1_18_24,433,406,101,23.33,24.88,KY
Y2014,kentucky,AB2_25+,2890,2801,1424,49.27,50.84,KY
Y2014,louisiana,AB1_18_24,501,484,132,26.35,27.27,LA
Y2014,louisiana,AB2_25+,2949,2858,1544,52.36,54.02,LA
Y2014,maine,AB1_18_24,110,107,33,30,30.84,ME
Y2014,maine,AB2_25+,951,937,609,64.04,64.99,ME
Y2014,maryland,AB1_18_24,490,434,106,21.63,24.42,MD
Y2014,maryland,AB2_25+,4052,3714,1922,47.43,51.75,MD
Y2014,massachusetts,AB1_18_24,590,536,109,18.47,20.34,MA
Y2014,massachusetts,AB2_25+,4689,4280,2151,45.87,50.26,MA
Y2014,michigan,AB1_18_24,915,899,167,18.25,18.58,MI
Y2014,michigan,AB2_25+,6660,6347,3249,48.78,51.19,MI
Y2014,minnesota,AB1_18_24,537,520,112,20.86,21.54,MN
Y2014,minnesota,AB2_25+,3566,3413,1934,54.23,56.67,MN
Y2014,mississippi,AB1_18_24,327,322,85,25.99,26.4,MS
Y2014,mississippi,AB2_25+,1855,1821,821,44.26,45.09,MS
Y2014,missouri,AB1_18_24,442,438,64,14.48,14.61,MO
Y2014,missouri,AB2_25+,4062,3990,1650,40.62,41.35,MO
Y2014,montana,AB1_18_24,101,99,21,20.79,21.21,MT
Y2014,montana,AB2_25+,687,683,371,54,54.32,MT
Y2014,nebraska,AB1_18_24,180,166,26,14.44,15.66,NE
Y2014,nebraska,AB2_25+,1219,1141,553,45.37,48.47,NE
Y2014,nevada,AB1_18_24,245,233,42,17.14,18.03,NV
Y2014,nevada,AB2_25+,1884,1625,651,34.55,40.06,NV
Y2014,new hampshire,AB1_18_24,113,113,21,18.58,18.58,NH
Y2014,new hampshire,AB2_25+,934,903,488,52.25,54.04,NH
Y2014,new jersey,AB1_18_24,772,698,100,12.95,14.33,NJ
Y2014,new jersey,AB2_25+,6048,5210,2052,33.93,39.39,NJ
Y2014,new mexico,AB1_18_24,196,184,23,11.73,12.5,NM
Y2014,new mexico,AB2_25+,1340,1231,623,46.49,50.61,NM
Y2014,new york,AB1_18_24,1959,1738,258,13.17,14.84,NY
Y2014,new york,AB2_25+,13316,11873,4421,33.2,37.24,NY
Y2014,north carolina,AB1_18_24,1092,1008,235,21.52,23.31,NC
Y2014,north carolina,AB2_25+,6320,5850,2934,46.42,50.15,NC
Y2014,north dakota,AB1_18_24,82,77,21,25.61,27.27,ND
Y2014,north dakota,AB2_25+,484,470,258,53.31,54.89,ND
Y2014,ohio,AB1_18_24,985,968,122,12.39,12.6,OH
Y2014,ohio,AB2_25+,7787,7542,3257,41.83,43.18,OH
Y2014,oklahoma,AB1_18_24,382,352,42,10.99,11.93,OK
Y2014,oklahoma,AB2_25+,2469,2338,878,35.56,37.55,OK
Y2014,oregon,AB1_18_24,380,358,89,23.42,24.86,OR
Y2014,oregon,AB2_25+,2698,2512,1504,55.74,59.87,OR
Y2014,pennsylvania,AB1_18_24,1119,1062,116,10.37,10.92,PA
Y2014,pennsylvania,AB2_25+,8805,8448,3687,41.87,43.64,PA
Y2014,rhode island,AB1_18_24,108,103,14,12.96,13.59,RI
Y2014,rhode island,AB2_25+,710,662,317,44.65,47.89,RI
Y2014,south carolina,AB1_18_24,462,457,89,19.26,19.47,SC
Y2014,south carolina,AB2_25+,3205,3112,1424,44.43,45.76,SC
Y2014,south dakota,AB1_18_24,69,67,8,11.59,11.94,SD
Y2014,south dakota,AB2_25+,555,551,266,47.93,48.28,SD
Y2014,tennessee,AB1_18_24,661,652,78,11.8,11.96,TN
Y2014,tennessee,AB2_25+,4315,4162,1686,39.07,40.51,TN
Y2014,texas,AB1_18_24,2611,2371,287,10.99,12.1,TX
Y2014,texas,AB2_25+,16743,14473,5548,33.14,38.33,TX
Y2014,utah,AB1_18_24,259,250,35,13.51,14,UT
Y2014,utah,AB2_25+,1768,1675,667,37.73,39.82,UT
Y2014,vermont,AB1_18_24,55,55,6,10.91,10.91,VT
Y2014,vermont,AB2_25+,438,428,198,45.21,46.26,VT
Y2014,virginia,AB1_18_24,728,681,112,15.38,16.45,VA
Y2014,virginia,AB2_25+,5494,5207,2340,42.59,44.94,VA
Y2014,washington,AB1_18_24,592,522,127,21.45,24.33,WA
Y2014,washington,AB2_25+,4741,4254,2263,47.73,53.2,WA
Y2014,west virginia,AB1_18_24,185,183,26,14.05,14.21,WV
Y2014,west virginia,AB2_25+,1265,1258,458,36.21,36.41,WV
Y2014,wisconsin,AB1_18_24,489,470,131,26.79,27.87,WI
Y2014,wisconsin,AB2_25+,3868,3761,2212,57.19,58.81,WI
Y2014,wyoming,AB1_18_24,52,51,7,13.46,13.73,WY
Y2014,wyoming,AB2_25+,388,376,165,42.53,43.88,WY
Y2016,alabama,AB1_18_24,513,497,212,41.33,42.66,AL
Y2016,alabama,AB2_25+,3203,3154,1884,58.82,59.73,AL
Y2016,alaska,AB1_18_24,65,65,26,40,40,AK
Y2016,alaska,AB2_25+,453,437,282,62.25,64.53,AK
Y2016,arizona,AB1_18_24,735,654,263,35.78,40.21,AZ
Y2016,arizona,AB2_25+,4462,3930,2507,56.19,63.79,AZ
Y2016,arkansas,AB1_18_24,187,180,62,33.16,34.44,AR
Y2016,arkansas,AB2_25+,2028,1936,1179,58.14,60.9,AR
Y2016,california,AB1_18_24,3760,3308,1411,37.53,42.65,CA
Y2016,california,AB2_25+,26134,21583,13006,49.77,60.26,CA
Y2016,colorado,AB1_18_24,410,361,177,43.17,49.03,CO
Y2016,colorado,AB2_25+,3832,3534,2530,66.02,71.59,CO
Y2016,connecticut,AB1_18_24,263,225,97,36.88,43.11,CT
Y2016,connecticut,AB2_25+,2496,2259,1488,59.62,65.87,CT
Y2016,delaware,AB1_18_24,82,69,29,35.37,42.03,DE
Y2016,delaware,AB2_25+,647,599,388,59.97,64.77,DE
Y2016,florida,AB1_18_24,1589,1413,527,33.17,37.3,FL
Y2016,florida,AB2_25+,14613,13015,8050,55.09,61.85,FL
Y2016,georgia,AB1_18_24,991,923,401,40.46,43.45,GA
Y2016,georgia,AB2_25+,6635,6126,3845,57.95,62.77,GA
Y2016,hawaii,AB1_18_24,115,108,23,20,21.3,HI
Y2016,hawaii,AB2_25+,949,866,437,46.05,50.46,HI
Y2016,idaho,AB1_18_24,166,153,68,40.96,44.44,ID
Y2016,idaho,AB2_25+,1057,997,647,61.21,64.89,ID
Y2016,illinois,AB1_18_24,1330,1287,603,45.34,46.85,IL
Y2016,illinois,AB2_25+,8393,7683,5115,60.94,66.58,IL
Y2016,indiana,AB1_18_24,618,587,252,40.78,42.93,IN
Y2016,indiana,AB2_25+,4370,4209,2543,58.19,60.42,IN
Y2016,iowa,AB1_18_24,295,278,105,35.59,37.77,IA
Y2016,iowa,AB2_25+,2099,2013,1349,64.27,67.01,IA
Y2016,kansas,AB1_18_24,269,254,91,33.83,35.83,KS
Y2016,kansas,AB2_25+,1873,1775,1153,61.56,64.96,KS
Y2016,kentucky,AB1_18_24,406,384,207,50.99,53.91,KY
Y2016,kentucky,AB2_25+,2942,2863,1642,55.81,57.35,KY
Y2016,louisiana,AB1_18_24,458,453,225,49.13,49.67,LA
Y2016,louisiana,AB2_25+,3005,2901,1842,61.3,63.5,LA
Y2016,maine,AB1_18_24,101,100,49,48.51,49,ME
Y2016,maine,AB2_25+,956,938,705,73.74,75.16,ME
Y2016,maryland,AB1_18_24,468,414,225,48.08,54.35,MD
Y2016,maryland,AB2_25+,4155,3743,2511,60.43,67.09,MD
Y2016,massachusetts,AB1_18_24,596,555,238,39.93,42.88,MA
Y2016,massachusetts,AB2_25+,4778,4412,3077,64.4,69.74,MA
Y2016,michigan,AB1_18_24,853,813,308,36.11,37.88,MI
Y2016,michigan,AB2_25+,6772,6519,4406,65.06,67.59,MI
Y2016,minnesota,AB1_18_24,524,476,260,49.62,54.62,MN
Y2016,minnesota,AB2_25+,3667,3509,2478,67.58,70.62,MN
Y2016,mississippi,AB1_18_24,283,279,130,45.94,46.59,MS
Y2016,mississippi,AB2_25+,1920,1892,1340,69.79,70.82,MS
Y2016,missouri,AB1_18_24,565,540,259,45.84,47.96,MO
Y2016,missouri,AB2_25+,4060,3947,2646,65.17,67.04,MO
Y2016,montana,AB1_18_24,97,95,38,39.18,40,MT
Y2016,montana,AB2_25+,701,696,483,68.9,69.4,MT
