STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
KANSAS,AG2_25_34,402,362,184,45.9,50.8
KANSAS,AG3_35_44,328,314,210,63.9,66.7
KANSAS,AG4_45_64,719,682,445,61.8,65.2
KANSAS,AG5_65+,424,417,314,73.9,75.2
KENTUCKY,TOTAL,"3,348","3,246","1,850",55.3,57.0
KENTUCKY,AG1_18_24,406,384,207,51.1,53.9
KENTUCKY,AG2_25_34,530,496,273,51.5,55.1
KENTUCKY,AG3_35_44,553,529,300,54.2,56.7
KENTUCKY,AG4_45_64,"1,244","1,229",703,56.6,57.2
KENTUCKY,AG5_65+,615,609,366,59.5,60.2
LOUISIANA,TOTAL,"3,463","3,353","2,067",59.7,61.6
LOUISIANA,AG1_18_24,458,453,225,49.2,49.8
LOUISIANA,AG2_25_34,628,602,318,50.7,52.8
LOUISIANA,AG3_35_44,536,510,308,57.4,60.4
LOUISIANA,AG4_45_64,"1,233","1,197",801,64.9,66.9
LOUISIANA,AG5_65+,608,592,415,68.3,70.2
MAINE,TOTAL,"1,058","1,038",754,71.3,72.7
MAINE,AG1_18_24,101,100,49,48.8,49.4
MAINE,AG2_25_34,157,154,95,60.4,61.8
MAINE,AG3_35_44,146,139,97,66.4,69.6
MAINE,AG4_45_64,421,418,327,77.5,78.2
MAINE,AG5_65+,232,227,186,80.3,82.0
MARYLAND,TOTAL,"4,623","4,158","2,737",59.2,65.8
MARYLAND,AG1_18_24,468,414,225,48.0,54.3
MARYLAND,AG2_25_34,819,711,424,51.8,59.7
MARYLAND,AG3_35_44,833,668,424,50.9,63.6
MARYLAND,AG4_45_64,"1,702","1,586","1,133",66.6,71.4
MARYLAND,AG5_65+,801,778,530,66.2,68.1
MASSACHUSETTS,TOTAL,"5,374","4,967","3,315",61.7,66.7
MASSACHUSETTS,AG1_18_24,596,555,238,39.9,42.8
MASSACHUSETTS,AG2_25_34,"1,035",919,555,53.6,60.4
MASSACHUSETTS,AG3_35_44,811,696,475,58.6,68.3
MASSACHUSETTS,AG4_45_64,"1,850","1,743","1,263",68.3,72.5
MASSACHUSETTS,AG5_65+,"1,082","1,054",784,72.4,74.3
MICHIGAN,TOTAL,"7,624","7,332","4,713",61.8,64.3
MICHIGAN,AG1_18_24,853,813,308,36.1,37.8
MICHIGAN,AG2_25_34,"1,397","1,305",706,50.6,54.1
MICHIGAN,AG3_35_44,"1,047","1,012",650,62.1,64.2
