STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
KANSAS,AG2_25_34,406,359,172,42.3,47.9
KANSAS,AG3_35_44,300,269,169,56.4,63.0
KANSAS,AG4_45_64,757,721,535,70.7,74.2
KANSAS,AG5_65+,363,363,285,78.3,78.3
KENTUCKY,TOTAL,"3,291","3,194","1,895",57.6,59.3
KENTUCKY,AG1_18_24,446,437,165,37.1,37.9
KENTUCKY,AG2_25_34,513,462,235,45.9,51.0
KENTUCKY,AG3_35_44,547,534,330,60.3,61.7
KENTUCKY,AG4_45_64,"1,173","1,152",757,64.6,65.7
KENTUCKY,AG5_65+,613,608,408,66.6,67.1
LOUISIANA,TOTAL,"3,321","3,239","2,148",64.7,66.3
LOUISIANA,AG1_18_24,431,415,174,40.4,42.0
LOUISIANA,AG2_25_34,579,552,369,63.7,66.9
LOUISIANA,AG3_35_44,543,526,340,62.6,64.6
LOUISIANA,AG4_45_64,"1,199","1,184",846,70.5,71.4
LOUISIANA,AG5_65+,568,562,420,73.8,74.7
MAINE,TOTAL,"1,042","1,020",700,67.2,68.6
MAINE,AG1_18_24,118,118,50,42.8,42.8
MAINE,AG2_25_34,134,131,78,58.1,59.5
MAINE,AG3_35_44,157,149,101,64.2,67.8
MAINE,AG4_45_64,413,407,300,72.7,73.7
MAINE,AG5_65+,219,215,170,77.7,79.2
MARYLAND,TOTAL,"4,449","4,007","2,609",58.7,65.1
MARYLAND,AG1_18_24,585,558,246,42.1,44.1
MARYLAND,AG2_25_34,777,621,393,50.6,63.3
MARYLAND,AG3_35_44,721,590,396,54.9,67.1
MARYLAND,AG4_45_64,"1,557","1,450","1,025",65.8,70.7
MARYLAND,AG5_65+,809,787,550,67.9,69.8
MASSACHUSETTS,TOTAL,"5,170","4,774","3,382",65.4,70.8
MASSACHUSETTS,AG1_18_24,694,633,316,45.6,49.9
MASSACHUSETTS,AG2_25_34,810,705,450,55.6,63.8
MASSACHUSETTS,AG3_35_44,888,783,530,59.7,67.6
MASSACHUSETTS,AG4_45_64,"1,784","1,677","1,327",74.4,79.2
MASSACHUSETTS,AG5_65+,994,975,759,76.3,77.8
MICHIGAN,TOTAL,"7,496","7,228","4,832",64.5,66.8
MICHIGAN,AG1_18_24,905,894,394,43.5,44.0
MICHIGAN,AG2_25_34,"1,182","1,107",629,53.2,56.9
MICHIGAN,AG3_35_44,"1,221","1,136",768,62.9,67.6
MICHIGAN,AG4_45_64,"2,676","2,611","1,906",71.2,73.0
MICHIGAN,AG5_65+,"1,512","1,480","1,134",75.0,76.7
MINNESOTA,TOTAL,"4,055","3,903","2,859",70.5,73.2
MINNESOTA,AG1_18_24,531,510,303,57.0,59.4
MINNESOTA,AG2_25_34,650,596,384,59.0,64.4
MINNESOTA,AG3_35_44,701,659,478,68.2,72.6
MINNESOTA,AG4_45_64,"1,410","1,387","1,081",76.6,77.9
MINNESOTA,AG5_65+,762,751,613,80.5,81.6
MISSISSIPPI,TOTAL,"2,166","2,130","1,588",73.3,74.5
MISSISSIPPI,AG1_18_24,300,294,187,62.4,63.8
MISSISSIPPI,AG2_25_34,397,390,279,70.2,71.3
MISSISSIPPI,AG3_35_44,320,309,222,69.4,71.8
MISSISSIPPI,AG4_45_64,734,727,563,76.7,77.4
MISSISSIPPI,AG5_65+,416,410,337,80.9,82.2
MISSOURI,TOTAL,"4,521","4,409","2,818",62.3,63.9
MISSOURI,AG1_18_24,525,520,223,42.5,42.9
MISSOURI,AG2_25_34,857,809,448,52.3,55.4
MISSOURI,AG3_35_44,669,651,427,63.8,65.6
MISSOURI,AG4_45_64,"1,714","1,684","1,175",68.5,69.8
MISSOURI,AG5_65+,755,745,545,72.2,73.1
MONTANA,TOTAL,768,754,495,64.5,65.7
MONTANA,AG1_18_24,82,79,33,40.7,41.9
MONTANA,AG2_25_34,138,137,65,47.4,47.7
MONTANA,AG3_35_44,109,105,62,57.1,59.2
MONTANA,AG4_45_64,254,249,189,74.3,75.6
MONTANA,AG5_65+,186,184,146,78.6,79.4
NEBRASKA,TOTAL,"1,371","1,296",798,58.2,61.6
NEBRASKA,AG1_18_24,168,151,61,36.2,40.3
NEBRASKA,AG2_25_34,242,224,110,45.4,49.0
NEBRASKA,AG3_35_44,235,218,128,54.4,58.7
NEBRASKA,AG4_45_64,462,445,300,64.9,67.4
NEBRASKA,AG5_65+,264,259,200,75.7,77.2
NEVADA,TOTAL,"2,039","1,808","1,048",51.4,57.9
NEVADA,AG1_18_24,320,295,122,38.2,41.4
NEVADA,AG2_25_34,364,310,158,43.4,51.0
NEVADA,AG3_35_44,307,247,146,47.5,58.9
NEVADA,AG4_45_64,680,606,376,55.2,61.9
NEVADA,AG5_65+,369,350,246,66.8,70.4
NEW HAMPSHIRE,TOTAL,"1,028",991,688,66.9,69.4
NEW HAMPSHIRE,AG1_18_24,123,119,61,50.0,51.9
NEW HAMPSHIRE,AG2_25_34,160,147,91,56.7,61.7
NEW HAMPSHIRE,AG3_35_44,150,143,90,60.0,62.8
NEW HAMPSHIRE,AG4_45_64,425,414,312,73.4,75.4
NEW HAMPSHIRE,AG5_65+,171,169,134,78.6,79.6
NEW JERSEY,TOTAL,"6,730","5,929","3,670",54.5,61.9
NEW JERSEY,AG1_18_24,792,707,276,34.9,39.1
NEW JERSEY,AG2_25_34,"1,068",842,475,44.5,56.4
NEW JERSEY,AG3_35_44,"1,186",939,536,45.2,57.1
NEW JERSEY,AG4_45_64,"2,424","2,217","1,545",63.7,69.7
NEW JERSEY,AG5_65+,"1,259","1,224",838,66.5,68.4
NEW MEXICO,TOTAL,"1,553","1,426",878,56.5,61.6
NEW MEXICO,AG1_18_24,177,163,66,37.1,40.2
NEW MEXICO,AG2_25_34,286,248,130,45.6,52.5
NEW MEXICO,AG3_35_44,257,224,123,47.8,54.9
NEW MEXICO,AG4_45_64,588,551,390,66.3,70.8
NEW MEXICO,AG5_65+,246,240,169,68.8,70.6
NEW YORK,TOTAL,"15,066","13,082","7,675",50.9,58.7
NEW YORK,AG1_18_24,"2,028","1,790",710,35.0,39.6
NEW YORK,AG2_25_34,"2,775","2,171","1,145",41.3,52.7
NEW YORK,AG3_35_44,"2,334","1,871","1,133",48.5,60.5
NEW YORK,AG4_45_64,"5,217","4,706","3,046",58.4,64.7
NEW YORK,AG5_65+,"2,712","2,543","1,642",60.5,64.6
NORTH CAROLINA,TOTAL,"7,265","6,712","4,624",63.7,68.9
NORTH CAROLINA,AG1_18_24,863,779,389,45.1,50.0
NORTH CAROLINA,AG2_25_34,"1,220","1,021",676,55.4,66.2
NORTH CAROLINA,AG3_35_44,"1,320","1,172",792,60.0,67.6
NORTH CAROLINA,AG4_45_64,"2,470","2,373","1,710",69.2,72.1
NORTH CAROLINA,AG5_65+,"1,390","1,366","1,057",76.0,77.3
NORTH DAKOTA,TOTAL,528,514,328,62.2,63.9
NORTH DAKOTA,AG1_18_24,67,66,32,,48.9
NORTH DAKOTA,AG2_25_34,111,106,62,55.7,58.6
NORTH DAKOTA,AG3_35_44,71,69,44,,64.0
NORTH DAKOTA,AG4_45_64,194,190,129,66.9,68.2
NORTH DAKOTA,AG5_65+,85,84,61,71.9,72.3
OHIO,TOTAL,"8,750","8,550","5,395",61.7,63.1
OHIO,AG1_18_24,"1,145","1,105",511,44.7,46.3
OHIO,AG2_25_34,"1,413","1,352",772,54.6,57.1
OHIO,AG3_35_44,"1,340","1,274",772,57.6,60.6
OHIO,AG4_45_64,"3,213","3,179","2,159",67.2,67.9
OHIO,AG5_65+,"1,640","1,640","1,181",72.0,72.0
OKLAHOMA,TOTAL,"2,808","2,733","1,431",51.0,52.4
OKLAHOMA,AG1_18_24,325,323,88,27.2,27.3
OKLAHOMA,AG2_25_34,567,540,184,32.4,34.1
OKLAHOMA,AG3_35_44,433,418,212,49.0,50.8
OKLAHOMA,AG4_45_64,"1,001",980,602,60.1,61.4
OKLAHOMA,AG5_65+,483,473,345,71.5,73.0
OREGON,TOTAL,"2,998","2,806","1,897",63.3,67.6
OREGON,AG1_18_24,391,364,186,47.6,51.1
OREGON,AG2_25_34,461,399,215,46.7,53.9
OREGON,AG3_35_44,527,479,296,56.2,61.8
OREGON,AG4_45_64,"1,004",961,709,70.6,73.7
OREGON,AG5_65+,616,604,491,79.7,81.3
PENNSYLVANIA,TOTAL,"9,847","9,452","5,824",59.1,61.6
PENNSYLVANIA,AG1_18_24,"1,198","1,137",478,39.9,42.1
PENNSYLVANIA,AG2_25_34,"1,543","1,442",790,51.2,54.8
PENNSYLVANIA,AG3_35_44,"1,520","1,442",928,61.0,64.4
PENNSYLVANIA,AG4_45_64,"3,674","3,547","2,331",63.4,65.7
PENNSYLVANIA,AG5_65+,"1,913","1,883","1,297",67.8,68.9
RHODE ISLAND,TOTAL,817,751,469,57.4,62.5
RHODE ISLAND,AG1_18_24,99,89,45,45.2,50.3
RHODE ISLAND,AG2_25_34,121,108,58,47.6,53.3
RHODE ISLAND,AG3_35_44,150,127,76,50.9,59.9
